feature,importance
SHAA,0.13636501815818916
HODESH_TEUNA,0.12339520599862747
EZOR_TIVI,0.0912612629296561
YOM_BASHAVUA,0.08400671992546802
SUG_TEUNA,0.06678995170929165
ROHAV,0.056226093486023705
MEHIRUT_MUTERET,0.04938798265739971
MAHOZ,0.045719723383574815
HAD_MASLUL,0.04465226132855495
ZURAT_ISHUV,0.03907539927428166
SUG_DEREH,0.037432896564713214
RAV_MASLUL,0.025628022446192982
SIMUN_TIMRUR,0.02335055220839351
TEURA,0.022624306562006057
PNE_KVISH,0.01940447997593759
MEKOM_HAZIYA,0.018189369384744965
STATUS_IGUN,0.015608805354884596
OFEN_HAZIYA,0.014090441319246931
MEZEG_AVIR,0.013339515122911458
TKINUT,0.011908168061638153
KIVUN_HAZIYA,0.01137303520855195
YOM_LAYLA,0.010791851085950745
SUG_YOM,0.010422286019996008
MAAMAD_MINIZIPALI,0.010063672730101655
SUG_EZEM,0.007188777632622464
MERHAK_EZEM,0.0052445958900102065
LO_HAZA,0.0035507072240637655
THUM_GEOGRAFI,0.00290889835696645
